Time(s): 265 Message:roboRIO LOGGER INITIALIZED AT: 265
   12.50	    0.00	    0.00	    0.00	    0.00    0.00	    0.00
   12.20	    0.00	    0.00	    0.00	    0.25    0.47	    0.47
   12.17	    0.00	    0.00	    0.00	    0.50    0.94	    0.95
   12.16	    0.00	    0.00	    0.00	    0.50    1.42	    1.42
   12.08	    0.00	    0.00	    0.25	    1.00    1.90	    1.90
   12.03	    0.00	    0.00	    0.75	    1.88    2.37	    2.38
   11.91	    0.00	    0.00	    1.13	    3.25    2.82	    2.83
   11.85	    0.00	    0.00	    1.63	    5.50    3.29	    3.30
   11.78	    0.00	    0.00	    2.13	    8.25    3.76	    3.77
   11.70	    0.00	    0.00	    2.63	   11.63    4.23	    4.25
   11.57	    0.00	    0.00	    3.00	   15.38    4.70	    4.72
   11.44	    0.00	    0.00	    3.25	   19.25    5.17	    5.19
   11.38	    0.00	    0.00	    3.63	   23.63    5.38	    5.24
   11.20	    0.00	    0.00	    4.00	   28.38    5.83	    5.68
   10.97	    0.00	    0.00	    4.38	   33.88    6.28	    6.12
   10.84	    0.00	    0.00	    4.63	   39.63    6.73	    6.56
   10.77	    0.00	    0.00	    5.00	   45.38    7.18	    7.00
   10.63	    0.00	    0.00	    5.25	   50.38    7.63	    7.43
   10.41	    0.00	    0.00	    5.38	   55.50    7.52	    7.17
   10.32	    0.00	    0.00	    5.63	   60.50    7.94	    7.57
   10.17	    0.00	    0.00	    5.75	   65.13    8.36	    7.97
   10.11	    0.00	    0.00	    6.38	   68.88    8.78	    8.37
    9.85	    0.00	    0.00	    7.13	   72.38    9.19	    8.76
    9.62	    0.00	    0.00	    8.13	   72.38    9.61	    9.16
    9.68	    0.00	    0.00	    8.13	   76.00    9.05	    8.11
    9.39	    0.00	    0.00	    9.13	   80.13    9.42	    8.45
    9.18	    0.00	    0.00	    9.38	   84.13    9.65	    8.65
    9.45	    0.00	    0.00	    8.88	   87.50    9.65	    8.65
    9.50	    0.00	    0.00	    8.00	   89.25    9.65	    8.65
    9.25	    0.00	    0.00	    6.75	   90.00    9.65	    8.65
    9.31	    0.00	    0.00	    5.63	   90.00    9.20	    7.90
    9.31	    0.00	    0.00	    3.63	   89.88    9.20	    7.90
    9.30	    0.00	    0.00	    3.13	   90.00    9.20	    7.90
    9.43	    0.00	    0.00	    3.13	   90.00    9.20	    7.90
    9.73	    0.00	    0.00	    3.13	   89.88    9.20	    7.90
    9.29	    0.00	    0.00	    3.00	   89.75    9.30	    8.00
    9.42	    0.00	    0.00	    3.00	   89.75    9.30	    8.00
    9.31	    0.00	    0.00	    2.50	   89.88    9.30	    8.00
    9.46	    0.00	    0.00	    2.38	   90.00    9.30	    8.00
    9.47	    0.00	    0.00	    2.13	   89.88    9.30	    8.00
    9.64	    0.00	    0.00	    2.38	   89.75    9.30	    8.00
    9.58	    0.00	    0.00	    2.63	   89.75    9.40	    8.10
    9.44	    0.00	    0.00	    2.63	   89.50    9.40	    8.10
    9.70	    0.00	    0.00	    2.25	   89.50    9.40	    8.10
    9.67	    0.00	    0.00	    2.25	   89.38    9.40	    8.10
    9.36	    0.00	    0.00	    2.25	   89.13    9.40	    8.10
    9.43	    0.00	    0.00	    2.38	   89.25    9.40	    8.10
    9.51	    0.00	    0.00	    2.50	   89.38    9.45	    8.25
    9.72	    0.00	    0.00	    2.50	   89.38    9.45	    8.25
    9.48	    0.00	    0.00	    2.25	   89.38    9.45	    8.25
    9.85	    0.00	    0.00	    2.25	   89.38    9.45	    8.25
    9.60	    0.00	    0.00	    2.13	   89.00    9.45	    8.25
    9.58	    0.00	    0.00	    2.13	   88.88    9.45	    8.25
    9.63	    0.00	    0.00	    2.38	   88.50    9.55	    8.40
    9.77	    0.00	    0.00	    2.38	   88.13    9.55	    8.40
    9.77	    0.00	    0.00	    3.00	   87.75    9.55	    8.40
    9.66	    0.00	    0.00	    3.00	   88.25    9.55	    8.40
    9.80	    0.00	    0.00	    3.13	   88.50    9.55	    8.40
    9.66	    0.00	    0.00	    2.88	   88.38    9.55	    8.40
    9.80	    0.00	    0.00	    2.88	   87.75    9.65	    8.55
    9.86	    0.00	    0.00	    3.13	   87.13    9.65	    8.55
    9.72	    0.00	    0.00	    3.50	   87.00    9.65	    8.55
   11.47	    0.00	    0.00	    4.38	   87.00    9.65	    8.55
   11.61	    0.00	    0.00	    8.00	   87.00    9.65	    8.55
   11.68	    0.00	    0.00	    8.00	   87.00    9.65	    8.55
   11.76	    0.00	    0.00	    9.38	   87.00   11.50	    8.55
   11.85	    0.00	    0.00	    9.88	   87.00   11.50	    8.55
   11.76	    0.00	    0.00	    7.75	   87.00   11.50	    8.55
   11.83	    0.00	    0.00	    5.88	   87.00   11.50	    8.55
   11.88	    0.00	    0.00	    4.38	   87.00   11.50	    8.55
   11.88	    0.00	    0.00	    3.75	   87.00   11.50	    8.55
   11.90	    0.00	    0.00	    3.13	   87.00   11.85	    8.55
   11.90	    0.00	    0.00	    3.00	   87.00   11.85	    8.55
   11.90	    0.00	    0.00	    2.88	   87.00   11.85	    8.55
   11.88	    0.00	    0.00	    2.88	   87.00   11.85	    8.55
   11.88	    0.00	    0.00	    2.63	   87.00   11.85	    8.55
   11.88	    0.00	    0.00	    2.50	   87.00   11.85	    8.55
   11.90	    0.00	    0.00	    2.63	   87.00   11.85	    8.55
   11.93	    0.00	    0.00	    2.88	   87.00   11.85	    8.55
   11.98	    0.00	    0.00	    2.63	   87.00   11.85	    8.55
   11.90	    0.00	    0.00	    2.63	   87.00   11.85	    8.55
   11.96	    0.00	    0.00	    2.50	   87.00   11.85	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.85	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.90	    8.55
   11.91	    0.00	    0.00	    2.63	   87.00   11.90	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.90	    8.55
   11.93	    0.00	    0.00	    2.63	   87.00   11.90	    8.55
   11.94	    0.00	    0.00	    2.63	   87.00   11.90	    8.55
   11.91	    0.00	    0.00	    2.50	   87.00   11.90	    8.55
   11.96	    0.00	    0.00	    2.63	   87.00   11.90	    8.55
   11.96	    0.00	    0.00	    2.38	   87.00   11.90	    8.55
   11.93	    0.00	    0.00	    2.38	   87.00   11.90	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.90	    8.55
   11.96	    0.00	    0.00	    2.38	   87.00   11.90	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.90	    8.55
   11.91	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   12.03	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   12.02	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.95	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.97	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.93	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.95	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.96	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.93	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.96	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.94	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   12.00	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   12.01	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   12.00	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.97	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.63	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.63	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.99	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   12.01	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   12.01	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   12.02	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.96	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   11.99	    0.00	    0.00	    2.63	   87.00   11.95	    8.55
   11.99	    0.00	    0.00	    2.63	   87.00   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   11.98	    0.00	    0.00	    2.50	   87.00   11.95	    8.55
   12.05	    0.00	    0.00	    2.38	   87.00   11.95	    8.55
   12.00	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.06	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.63	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   11.98	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   11.96	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   11.96	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.63	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.50	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   11.98	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   11.99	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   11.98	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   11.98	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.05	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.13	   87.00   11.95	    8.55
   12.04	    0.00	    0.00	    2.13	   87.00   11.95	    8.55
   12.02	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   12.05	    0.00	    0.00	    2.13	   87.00   11.95	    8.55
   12.02	    0.00	    0.00	    2.13	   87.00   11.95	    8.55
   12.04	    0.00	    0.00	    2.25	   87.00   11.95	    8.55
   12.03	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.00	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.04	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.01	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.02	    0.00	    0.00	    2.13	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.08	    0.00	    0.00	    2.25	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.38	   87.00   12.00	    8.55
   12.03	    0.00	    0.00	    2.25	    0.00   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.05	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.00	    0.00	    0.00	    1.88	    0.13   12.00	    0.00
   12.00	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.01	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.00	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.00	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.04	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.01	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.05	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.06	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.05	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.00	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.01	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.08	    0.00	    0.00	    2.50	    0.13   12.00	    0.00
   12.01	    0.00	    0.00	    2.50	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.04	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.13	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.03	    0.00	    0.00	    2.25	    0.13   12.00	    0.00
   12.02	    0.00	    0.00	    2.38	    0.13   12.00	    0.00
